"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"116","DYSLEXIC WHO,,, STUDENT OR THE TEACHER ??#Dyslexia, #Comprehension,#metacognition,#edutech,#TeachingLearningProcess,http://t.co/QaigSDjb3F",FALSE,0,NA,2015-04-15 02:02:53,FALSE,NA,"588160535469944832",NA,"<a href=""http://gremln.com"" rel=""nofollow"">Gremln</a>","Shyam17",0,FALSE,FALSE,NA,NA
"117","Using the Dynavox to write important messages. #EDUtech #LearningForAll #InclusionMatters #StudentVoice http://t.co/Raj1hF1zDj",FALSE,1,NA,2015-04-15 01:05:01,FALSE,NA,"588145969524510720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LadyMackenziePS",0,FALSE,FALSE,NA,NA
"118","New teaching job! #oman #lecturer #schools #educhat #edutech #edchat  http://t.co/sOLv9FkpMe",FALSE,0,NA,2015-04-15 00:28:21,FALSE,NA,"588136745239257088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SeriousTeachers",0,FALSE,FALSE,NA,NA
"119","10 Most Powerful Uses of Technology for Learning http://t.co/FP0hYj6dMv #edtech #edutech #education #teaching #learning",FALSE,0,NA,2015-04-14 23:33:05,FALSE,NA,"588122833886273536",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","de_goshkey",0,FALSE,FALSE,NA,NA
"120","#MDM: Mobile device management Part 3 of 6: @JAMFSoftware's #Casper Suite #edtech #edutech #tech #ios #android http://t.co/iSyD02DeOe",FALSE,1,NA,2015-04-14 23:30:41,FALSE,NA,"588122233404522498",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","bsarte",0,FALSE,FALSE,NA,NA
"121","#MDM: Mobile device management Part 2 of a 6 Part series #edtech #edutech #nonprofit #tech #ios #android http://t.co/766Y0YrlDW",FALSE,1,NA,2015-04-14 23:25:22,FALSE,NA,"588120895895576578",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","bsarte",0,FALSE,FALSE,NA,NA
"122","#MDM: Mobile device management Part 1 of a 6 Part series #edtech #edutech #nonprofit #tech #ios #android http://t.co/VSysdR9yYw",FALSE,1,NA,2015-04-14 23:20:25,FALSE,NA,"588119648647958528",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","bsarte",0,FALSE,FALSE,NA,NA
"123","RT @Aerohive: #WiFi is changing the education landscape, especially when it comes to digital white board: http://t.co/SSTKOGY7WW #EduTech #¡­",FALSE,0,NA,2015-04-14 22:51:33,FALSE,NA,"588112383190654977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RSchaik343",4,TRUE,FALSE,NA,NA
"124","#techupdate 6 Epic Ways We Misuse Mobile Technology http://t.co/zIuqJlfVdA  #edutech #mobile2 #mobiletechnology #mobiletech #technology",FALSE,0,NA,2015-04-14 22:39:43,FALSE,NA,"588109406220505088",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","baseg25",0,FALSE,FALSE,NA,NA
"125","RT @Kriti_Kapoor: The $4.6 Trillion Education Industry Might Get Smoked by These Companies http://t.co/j4JMpfeY9B via @Inc #startup #edutec¡­",FALSE,0,NA,2015-04-14 22:39:10,FALSE,NA,"588109268508868608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShiftParadigm",1,TRUE,FALSE,NA,NA
"126","RT @Advait_LA: Faster learning progress seen in first Common Core state http://t.co/mkMbI7QeGn #EduTech #chromebooks #GAFE #k12",FALSE,0,NA,2015-04-14 22:32:31,FALSE,NA,"588107591827456001",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","M_Modirrousta",2,TRUE,FALSE,NA,NA
"127","The $4.6 Trillion Education Industry Might Get Smoked by These Companies http://t.co/j4JMpfeY9B via @Inc #startup #edutech @ShiftParadigm",FALSE,6,NA,2015-04-14 22:23:01,FALSE,NA,"588105201124581376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kriti_Kapoor",1,FALSE,FALSE,NA,NA
